time,SOI,FQ,Load
7363.28,-4,31.9,198.8660825
7363.36,-4,31.9,198.8652579
7363.44,-4,31.9,198.8631044
7363.52,-4,31.9,198.8643367
7363.6,-4,31.9,198.6026442
7363.68,-4,31.9,198.8613776
7363.76,-4,31.9,198.8626179
7363.84,-4,31.9,198.6010315
7363.92,-4,31.9,199.4312635
7364,-4,31.9,199.8370177
7364.08,-4,31.9,199.8257906
7364.16,-4,31.9,199.8153279
7364.24,-4,31.9,199.8058827
7364.32,-4,31.9,199.7983624
7364.4,-4,31.9,199.7881637
7364.48,-4,31.9,199.5524818
7364.56,-4,31.9,199.7715173
7364.64,-4,31.9,199.7612535
7364.72,-4,31.9,199.7521202
7364.8,-4,31.9,199.517576
7364.88,-4,31.9,199.5072397
7364.96,-4,31.9,199.5003359
7365.04,-4,31.9,199.4910761
7365.12,-4,31.9,199.7098956
7365.2,-4,31.9,199.7013675
7365.28,-4,31.9,199.6953001
7365.36,-4,31.9,199.6853658
7365.44,-4,31.9,199.4487206
7365.52,-4,31.9,199.6705788
7365.6,-4,31.9,199.6617894
7365.68,-4,31.9,199.4233057
7365.76,-4,31.9,199.41877
7365.84,-4,31.9,199.4076116
7365.92,-4,31.9,199.6277311
7366,-4,31.9,199.3957386
7366.08,-4,31.9,199.6154671
7366.16,-4,31.9,199.3742848
7366.24,-4,31.9,199.6042772
7366.32,-4,31.9,199.3617888
7366.4,-4,31.9,199.3530055
7366.48,-4,31.9,199.5825639
7366.56,-4,31.9,199.3394222
7366.64,-4,31.9,199.5626433
7366.72,-4,31.9,199.3278142
7366.8,-4,31.9,199.5512659
7366.88,-4,31.9,199.541827
7366.96,-4,31.9,199.3083047
7367.04,-4,31.9,199.5308919
7367.12,-4,31.9,199.2906739
7367.2,-4,31.9,199.5331689
7367.28,-4,31.9,199.5090381
7367.36,-4,31.9,199.5013375
7367.44,-4,31.9,199.2611897
7367.52,-4,31.9,199.4942712
7367.6,-4,31.9,199.2487932
7367.68,-4,31.9,199.4751636
7367.76,-4,31.9,199.4754091
7367.84,-4,31.9,199.4656392
7367.92,-4,31.9,198.1101218
7368,-4,31.9,198.1457083
7368.08,-4,31.9,198.1509698
7368.16,-4,31.9,198.160148
7368.24,-4,31.9,198.1734329
7368.32,-4,31.9,198.1722337
7368.4,-4,31.9,198.1730516
7368.48,-4,31.9,198.1791168
7368.56,-4,31.9,198.1894996
7368.64,-4,31.9,197.9302098
7368.72,-4,31.9,198.1947698
7368.8,-4,31.9,198.2051334
7368.88,-4,31.9,197.9463133
7368.96,-4,31.9,198.2098688
7369.04,-4,31.9,198.2203059
7369.12,-4,31.9,198.2195746
7369.2,-4,31.9,197.9664043
7369.28,-4,31.9,197.9784898
7369.36,-4,31.9,197.9767067
7369.44,-4,31.9,198.2415922
7369.52,-4,31.9,198.2493862
7369.6,-4,31.9,198.2532406
7369.68,-4,31.9,198.2527377
7369.76,-4,31.9,198.0011939
7369.84,-4,31.9,198.0099025
7369.92,-4,31.9,198.0101898
7370,-4,31.9,198.0162497
7370.08,-4,31.9,198.2817764
7370.16,-4,31.9,198.2799403
7370.24,-4,31.9,198.0303532
7370.32,-4,31.9,198.2950125
7370.4,-4,31.9,198.2929593
7370.48,-4,31.9,198.29824
7370.56,-4,31.9,198.3067339
7370.64,-4,31.9,198.0504038
7370.72,-4,31.9,198.056715
7370.8,-4,31.9,198.3191714
7370.88,-4,31.9,198.0632869
7370.96,-4,31.9,198.0696569
7371.04,-4,31.9,198.0757907
7371.12,-4,31.9,198.0743233
7371.2,-4,31.9,198.3365023
7371.28,-4,31.9,198.3417358
7371.36,-4,31.9,198.3395207
7371.44,-4,31.9,198.3475858
7371.52,-4,31.9,198.352284
7371.6,-4,31.9,198.3508387
7371.68,-4,31.9,198.35877
7371.76,-4,31.9,198.1107073
7371.84,-4,31.9,198.361734
7371.92,-4,31.9,198.3696062
7372,-4,31.9,198.1217762
7372.08,-4,31.9,198.3724449
7372.16,-4,31.9,198.1283752
7372.24,-4,31.9,198.384214
7372.32,-4,31.9,198.3827822
7372.4,-4,31.9,198.1391111
7372.48,-4,31.9,198.3947613
7372.56,-4,31.9,198.3927817
7372.64,-4,31.9,198.4005054
7372.72,-4,31.9,198.4044271
7372.8,-4,31.9,198.1518047
7372.88,-4,31.9,198.1595226
7372.96,-4,31.9,198.4140434
7373.04,-4,31.9,198.4118468
7373.12,-4,31.9,198.4197646
7373.2,-4,31.9,198.1730318
7373.28,-4,31.9,198.421114
7373.36,-4,31.9,198.4286025
7373.44,-4,31.9,198.1821683
7373.52,-4,31.9,198.4300618
7373.6,-4,31.9,198.1878686
7373.68,-4,31.9,198.1916196
7373.76,-4,31.9,198.4388627
7373.84,-4,31.9,198.1969413
7373.92,-4,31.9,180.368503
7374,-4,24.7,158.6679181
7374.08,-4,24.7,158.3060722
7374.16,-4,24.7,158.4820497
7374.24,-4,24.7,158.4514657
7374.32,-4,24.7,158.4429478
7374.4,-4,24.7,158.2229547
7374.48,-4,24.7,158.2008184
7374.56,-4,24.7,158.1911436
7374.64,-4,24.7,158.4061937
7374.72,-4,24.7,158.1855535
7374.8,-4,24.7,158.3897219
7374.88,-4,24.7,158.3639026
7374.96,-4,24.7,158.3581336
7375.04,-4,24.7,158.3540926
7375.12,-4,24.7,158.1170349
7375.2,-4,24.7,158.3273312
7375.28,-4,24.7,158.3258624
7375.36,-4,24.7,158.3035043
7375.44,-4,24.7,158.0830722
7375.52,-4,24.7,158.2964738
7375.6,-4,24.7,158.2941966
7375.68,-4,24.7,158.0576361
7375.76,-4,24.7,158.2598706
7375.84,-4,24.7,158.2587386
7375.92,-4,24.7,158.2571414
7376,-4,24.7,158.2471983
7376.08,-4,24.7,158.0131471
7376.16,-4,24.7,158.2131031
7376.24,-4,24.7,158.2128331
7376.32,-4,24.7,158.0027921
7376.4,-4,24.7,158.1864235
7376.48,-4,24.7,157.967054
7376.56,-4,24.7,157.9662966
7376.64,-4,24.7,158.1765333
7376.72,-4,24.7,158.1504653
7376.8,-4,24.7,158.1410037
7376.88,-4,24.7,157.9353499
7376.96,-4,24.7,158.1370456
7377.04,-4,24.7,158.1165751
7377.12,-4,24.7,157.901854
7377.2,-4,24.7,158.105564
7377.28,-4,24.7,157.9048798
7377.36,-4,24.7,158.0868508
7377.44,-4,24.7,157.8706097
7377.52,-4,24.7,158.0715732
7377.6,-4,24.7,157.8692941
7377.68,-4,24.7,158.051948
7377.76,-4,24.7,157.8405297
7377.84,-4,24.7,158.0403707
7377.92,-4,24.7,158.0422604
7378,-4,24.7,157.8187765
7378.08,-4,24.7,157.8107225
7378.16,-4,24.7,157.8096779
7378.24,-4,24.7,158.0137435
7378.32,-4,24.7,157.7915076
7378.4,-4,24.7,157.9805257
7378.48,-4,24.7,157.7810412
7378.56,-4,24.7,157.9783619
7378.64,-4,24.7,157.9590708
7378.72,-4,24.7,157.7593695
7378.8,-4,24.7,157.7619564
7378.88,-4,24.7,157.7503252
7378.96,-4,24.7,157.9335066
7379.04,-4,24.7,157.9233866
7379.12,-4,24.7,157.9212045
7379.2,-4,24.7,157.9274673
7379.28,-4,24.7,157.9124611
7379.36,-4,24.7,157.7031531
7379.44,-4,24.7,157.8888248
7379.52,-4,24.7,157.690926
7379.6,-4,24.7,157.8856498
7379.68,-4,24.7,157.8764643
7379.76,-4,24.7,157.8709227
7379.84,-4,24.7,157.8632657
7379.92,-4,24.7,216.2168337
7380,-4,49.4,279.5747668
7380.08,-4,49.4,278.0583261
7380.16,-4,49.4,278.2409424
7380.24,-4,49.4,278.664918
7380.32,-4,49.4,278.8183627
7380.4,-4,49.4,278.966963
7380.48,-4,49.4,279.0909651
7380.56,-4,49.4,278.9785823
7380.64,-4,49.4,279.3758592
7380.72,-4,49.4,279.2707642
7380.8,-4,49.4,279.4007283
7380.88,-4,49.4,279.7805585
7380.96,-4,49.4,279.9204588
7381.04,-4,49.4,280.0312812
7381.12,-4,49.4,279.8519097
7381.2,-4,49.4,279.9939223
7381.28,-4,49.4,280.1040669
7381.36,-4,49.4,280.5386662
7381.44,-4,49.4,280.6689329
7381.52,-4,49.4,280.7744555
7381.6,-4,49.4,280.8996575
7381.68,-4,49.4,281.0210216
7381.76,-4,49.4,281.1256573
7381.84,-4,49.4,280.972951
7381.92,-4,49.4,281.3660872
7382,-4,49.4,281.1924529
7382.08,-4,49.4,281.3187538
7382.16,-4,49.4,281.695696
7382.24,-4,49.4,281.7960258
7382.32,-4,49.4,281.9161469
7382.4,-4,49.4,282.0140193
7382.48,-4,49.4,282.1147746
